SnomedCTConceptId,Term
98821000000101,Nigerian - ethnic category 2001 census
98831000000104,Black British - ethnic category 2001 census
98831000000104,Black British - ethnic category 2001 census
98851000000106,Other Black or Black unspecified - ethnic category 2001 census
98851000000106,Other Black or Black unspecified - ethnic category 2001 census
98871000000102,Vietnamese - ethnic category 2001 census
98871000000102,Vietnamese - ethnic category 2001 census
98881000000100,Japanese - ethnic category 2001 census
98881000000100,Japanese - ethnic category 2001 census
98891000000103,Filipino - ethnic category 2001 census
98891000000103,Filipino - ethnic category 2001 census
98901000000102,Malaysian - ethnic category 2001 census
98901000000102,Malaysian - ethnic category 2001 census
98961000000103,Arab - ethnic category 2001 census
98961000000103,Arab - ethnic category 2001 census
99001000000109,Iranian - ethnic category 2001 census
99001000000109,Iranian - ethnic category 2001 census
99021000000100,Moroccan - ethnic category 2001 census
99021000000100,Moroccan - ethnic category 2001 census
103191000000105,Other White background - ethnic category 2001 census
103191000000105,Other White background - ethnic category 2001 census
103201000000107,English - ethnic category 2001 census
103201000000107,English - ethnic category 2001 census
103211000000109,Scottish - ethnic category 2001 census
103211000000109,Scottish - ethnic category 2001 census
103221000000103,Cornish - ethnic category 2001 census
103221000000103,Cornish - ethnic category 2001 census
103231000000101,Northern Irish - ethnic category 2001 census
103231000000101,Northern Irish - ethnic category 2001 census
103241000000105,Ulster Scots - ethnic category 2001 census
103241000000105,Ulster Scots - ethnic category 2001 census
103251000000108,Cypriot (part not stated) - ethnic category 2001 census
103251000000108,Cypriot (part not stated) - ethnic category 2001 census
103261000000106,Greek - ethnic category 2001 census
103261000000106,Greek - ethnic category 2001 census
103271000000104,Greek Cypriot - ethnic category 2001 census
103271000000104,Greek Cypriot - ethnic category 2001 census
103281000000102,Turkish - ethnic category 2001 census
103281000000102,Turkish - ethnic category 2001 census
103291000000100,Turkish Cypriot - ethnic category 2001 census
103291000000100,Turkish Cypriot - ethnic category 2001 census
103301000000101,Italian - ethnic category 2001 census
103301000000101,Italian - ethnic category 2001 census
103311000000104,Irish Traveller - ethnic category 2001 census
103311000000104,Irish Traveller - ethnic category 2001 census
103321000000105,Traveller - ethnic category 2001 census
103321000000105,Traveller - ethnic category 2001 census
103331000000107,Gypsy/Romany - ethnic category 2001 census
103331000000107,Gypsy/Romany - ethnic category 2001 census
103341000000103,Polish - ethnic category 2001 census
103341000000103,Polish - ethnic category 2001 census
103351000000100,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census
103351000000100,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census
103361000000102,Commonwealth of (Russian) Independent States - ethnic category 2001 census
103361000000102,Commonwealth of (Russian) Independent States - ethnic category 2001 census
103371000000109,Kosovan - ethnic category 2001 census
103371000000109,Kosovan - ethnic category 2001 census
103381000000106,Albanian - ethnic category 2001 census
103381000000106,Albanian - ethnic category 2001 census
103391000000108,Bosnian - ethnic category 2001 census
103391000000108,Bosnian - ethnic category 2001 census
103401000000106,Croatian - ethnic category 2001 census
103401000000106,Croatian - ethnic category 2001 census
103411000000108,Other republics which made up the former Yugoslavia - ethnic category 2001 census
103411000000108,Other republics which made up the former Yugoslavia - ethnic category 2001 census
103421000000102,Mixed Irish and other White - ethnic category 2001 census
103421000000102,Mixed Irish and other White - ethnic category 2001 census
103431000000100,Other White European or European unspecified or Mixed European - ethnic category 2001 census
103431000000100,Other White European or European unspecified or Mixed European - ethnic category 2001 census
103441000000109,Other mixed White - ethnic category 2001 census
103441000000109,Other mixed White - ethnic category 2001 census
103451000000107,Other White or White unspecified - ethnic category 2001 census
103451000000107,Other White or White unspecified - ethnic category 2001 census
103561000000109,Indian or British Indian - ethnic category 2001 census
103561000000109,Indian or British Indian - ethnic category 2001 census
103571000000102,Pakistani or British Pakistani - ethnic category 2001 census
103571000000102,Pakistani or British Pakistani - ethnic category 2001 census
103581000000100,Bangladeshi or British Bangladeshi - ethnic category 2001 census
103581000000100,Bangladeshi or British Bangladeshi - ethnic category 2001 census
103591000000103,Other Asian background - ethnic category 2001 census
103591000000103,Other Asian background - ethnic category 2001 census
103601000000109,Kashmiri - ethnic category 2001 census
103601000000109,Kashmiri - ethnic category 2001 census
103611000000106,East African Asian - ethnic category 2001 census
103611000000106,East African Asian - ethnic category 2001 census
103621000000100,Sri Lankan - ethnic category 2001 census
103621000000100,Sri Lankan - ethnic category 2001 census
103631000000103,Tamil - ethnic category 2001 census
103631000000103,Tamil - ethnic category 2001 census
103641000000107,Sinhalese - ethnic category 2001 census
103641000000107,Sinhalese - ethnic category 2001 census
103661000000108,British Asian - ethnic category 2001 census
103661000000108,British Asian - ethnic category 2001 census
103681000000104,Other Asian or Asian unspecified - ethnic category 2001 census
103681000000104,Other Asian or Asian unspecified - ethnic category 2001 census
103691000000102,Caribbean - ethnic category 2001 census
103691000000102,Caribbean - ethnic category 2001 census
103701000000102,African - ethnic category 2001 census
103701000000102,African - ethnic category 2001 census
103711000000100,Other Black background - ethnic category 2001 census
103711000000100,Other Black background - ethnic category 2001 census
103721000000106,Somali - ethnic category 2001 census
103721000000106,Somali - ethnic category 2001 census
103731000000108,Nigerian - ethnic category 2001 census
103731000000108,Nigerian - ethnic category 2001 census
103741000000104,Black British - ethnic category 2001 census
103741000000104,Black British - ethnic category 2001 census
103761000000103,Other Black or Black unspecified - ethnic category 2001 census
103761000000103,Other Black or Black unspecified - ethnic category 2001 census
103771000000105,Chinese - ethnic category 2001 census
103771000000105,Chinese - ethnic category 2001 census
103781000000107,Vietnamese - ethnic category 2001 census
103781000000107,Vietnamese - ethnic category 2001 census
103791000000109,Japanese - ethnic category 2001 census
103791000000109,Japanese - ethnic category 2001 census
103801000000108,Filipino - ethnic category 2001 census
103801000000108,Filipino - ethnic category 2001 census
103811000000105,Malaysian - ethnic category 2001 census
103811000000105,Malaysian - ethnic category 2001 census
103871000000100,Arab - ethnic category 2001 census
103871000000100,Arab - ethnic category 2001 census
103911000000103,Iranian - ethnic category 2001 census
103911000000103,Iranian - ethnic category 2001 census
103931000000106,Moroccan - ethnic category 2001 census
103931000000106,Moroccan - ethnic category 2001 census
107691000000105,Caribbean - ethnic category 2001 census
107691000000105,Caribbean - ethnic category 2001 census (finding)
107821000000108,Welsh - ethnic category 2001 census
107821000000108,Welsh - ethnic category 2001 census
107901000000107,Punjabi - ethnic category 2001 census
107901000000107,Punjabi - ethnic category 2001 census
110401000000103,Turkish - ethnic category 2001 census
110401000000103,Turkish - ethnic category 2001 census (finding)
110751000000108,Indian or British Indian - ethnic category 2001 census
110751000000108,Indian or British Indian - ethnic category 2001 census (finding)
110761000000106,English - ethnic category 2001 census
110761000000106,English - ethnic category 2001 census (finding)
110781000000102,Sinhalese - ethnic category 2001 census
110781000000102,Sinhalese - ethnic category 2001 census (finding)
110791000000100,Black British - ethnic category 2001 census
110791000000100,Black British - ethnic category 2001 census (finding)
296841000000102,Yemeni (ethnic group)
296841000000102,Yemeni
296851000000104,Yemeni 
296851000000104,Yemeni
296861000000101,Yemeni 
296861000000101,Yemeni
494131000000105,White British - ethnic category 2001 census (finding)
494131000000105,White British - ethnic category 2001 census
494131000000105,White British - ethnic category 2001 census (finding)
494131000000105,White British - ethnic category 2001 census
494141000000101,White British - ethnic category 2001 census 
494141000000101,White British - ethnic category 2001 census
494141000000101,White British - ethnic category 2001 census 
494141000000101,White British - ethnic category 2001 census
494151000000103,White British - ethnic category 2001 census 
494151000000103,White British - ethnic category 2001 census
494151000000103,White British - ethnic category 2001 census 
494151000000103,White British - ethnic category 2001 census
494161000000100,White Irish - ethnic category 2001 census (finding)
494161000000100,White Irish - ethnic category 2001 census
494171000000107,White Irish - ethnic category 2001 census 
494171000000107,White Irish - ethnic category 2001 census
494181000000109,White Irish - ethnic category 2001 census 
494181000000109,White Irish - ethnic category 2001 census
518701000000103,Romanian (ethnic group)
518701000000103,Romanian
518711000000101,Romanian 
518711000000101,Romanian
518721000000107,Bulgarian (ethnic group)
518721000000107,Bulgarian
518731000000109,Bulgarian 
